iter	RMSE
0	580.2223946
1	580.0561319
2	579.8591662
3	579.550322
4	579.0598719
5	578.6122477
6	578.2896061
7	578.120736
8	577.6633323
9	577.1947616
10	577.1199582
11	576.9085975
12	576.8049348
13	576.6386298
14	576.5783317
15	576.3492029
16	575.9473672
17	575.7561689
18	575.4510297
19	575.1055417
20	574.7550645
21	574.5669601
22	574.5216847
23	574.4044813
24	574.2064366
25	574.0173996
26	573.6312787
27	573.5289759
28	573.3321388
29	573.028872
30	572.9777239
31	572.8575676
32	572.6944035
33	572.4951814
34	572.2635684
35	572.2526226
36	572.2070713
37	571.9709043
38	571.7255549
39	571.5456308
40	571.3733823
41	571.2002
42	570.9424983
43	570.8354636
44	570.6723456
45	570.4069107
46	570.1965578
47	570.0125046
48	569.9806884
49	569.7262853
50	569.6351932
51	569.41175
52	569.3235578
53	569.3028321
54	569.2230622
55	569.1141579
56	568.9653406
57	568.8717988
58	568.7582327
59	568.6905525
60	568.6411364
61	568.5134044
62	568.3764532
63	568.1954983
64	568.1801998
65	568.1015907
66	567.9887471
67	567.8289009
68	567.699129
69	567.4222076
70	567.2643127
71	567.017369
72	566.9046131
73	566.756995
74	566.6974643
75	566.5766498
76	566.5636312
77	566.4968248
78	566.4528252
79	566.319331
80	566.2125097
81	566.040874
82	565.9973532
83	565.9435954
84	565.889363
85	565.8305376
86	565.7838486
87	565.6056224
88	565.5523695
89	565.4591116
90	565.3787982
91	565.2447219
92	565.2160351
93	565.2080667
94	565.1227887
95	565.1151744
96	565.012909
97	564.9334114
98	564.8069218
99	564.7371137
100	564.6641381
101	564.5969622
102	564.4759194
103	564.3737004
104	564.3560841
105	564.2469401
106	564.2055026
107	564.1438488
108	564.0836816
109	564.010304
110	563.8921633
111	563.8602749
112	563.8058258
113	563.7545674
114	563.6510113
115	563.6451847
116	563.5264407
117	563.4923552
118	563.4663798
119	563.3334952
120	563.1732455
121	563.1029108
122	563.0835379
123	562.9615491
124	562.8636213
125	562.8378701
126	562.764585
127	562.7248257
128	562.6650192
129	562.5700002
130	562.5503825
131	562.4234106
132	562.4077871
133	562.3449415
134	562.2190142
135	562.1874321
136	562.1443448
137	562.0652183
138	562.0559549
139	561.9484073
140	561.9195952
141	561.8729554
142	561.8333898
143	561.7746436
144	561.7438713
145	561.704159
146	561.6707781
147	561.598155
148	561.5183069
149	561.45269
150	561.443521
151	561.3349307
152	561.2802244
153	561.202477
154	561.1721837
155	561.1409682
156	561.052409
157	561.006882
158	560.9199728
159	560.916235
160	560.8338353
161	560.7989042
162	560.706156
163	560.6748378
164	560.619792
165	560.5571786
166	560.5489197
167	560.4938113
168	560.4258602
169	560.4253249
170	560.3742498
171	560.3241517
172	560.2530602
173	560.1795759
174	560.1044628
175	560.0486243
176	559.9865149
177	559.9528158
178	559.9370031
179	559.8849507
180	559.8560912
181	559.7753106
182	559.7465162
183	559.7148917
184	559.6643271
185	559.6266564
186	559.602052
187	559.5503682
188	559.5076601
189	559.4758264
190	559.4544484
191	559.4353479
192	559.3846477
193	559.3446944
194	559.3101974
195	559.2404438
196	559.2047714
197	559.1490362
198	559.1176103
199	559.1137714
200	559.0584565
201	559.0502415
202	558.9963174
203	558.9952219
204	558.946172
205	558.942285
206	558.9273686
207	558.8712949
208	558.8262622
209	558.7825468
210	558.757601
211	558.7398424
212	558.7054961
213	558.7026554
214	558.6769891
215	558.6322111
216	558.5711953
217	558.5268852
218	558.4726523
219	558.4441658
220	558.4381624
221	558.4246468
222	558.4094547
223	558.3909589
224	558.3526355
225	558.3152075
226	558.3084864
227	558.2659904
228	558.2460866
229	558.2273326
230	558.2235964
231	558.1865063
232	558.1614056
233	558.1305867
234	558.0758682
235	558.0587538
236	558.0546667
237	558.014612
238	557.9692457
239	557.968706
240	557.9533349
241	557.9130616
242	557.8728166
243	557.8527715
244	557.8355063
245	557.8063277
246	557.7803321
247	557.7505708
248	557.710122
249	557.6920328
250	557.6689946
251	557.6362333
252	557.6309069
253	557.6251568
254	557.6202569
255	557.598193
256	557.5725516
257	557.5427381
258	557.510587
259	557.4848095
260	557.459939
261	557.4484086
262	557.4351991
263	557.4182737
264	557.4011628
265	557.3884998
266	557.3531628
267	557.3419108
268	557.3133927
269	557.2952649
270	557.2728841
271	557.2555575
272	557.237666
273	557.2115464
274	557.1835342
275	557.1668346
276	557.1486144
277	557.1463497
278	557.1193561
279	557.1093898
280	557.0890786
281	557.0706591
282	557.0546964
283	557.0273468
284	557.0098335
285	556.9812686
286	556.9564141
287	556.9378666
288	556.9181103
289	556.9029689
290	556.8811392
291	556.8640551
292	556.8602109
293	556.848549
294	556.8357462
295	556.8203683
296	556.8094728
297	556.7905927
298	556.7686072
299	556.755798
300	556.7451951
301	556.725344
302	556.7115195
303	556.6907777
304	556.6758279
305	556.6570875
306	556.6393038
307	556.626648
308	556.6091189
309	556.5971808
310	556.5877552
311	556.5760136
312	556.5669656
313	556.5602038
314	556.5488631
315	556.5418455
316	556.5206497
317	556.5067751
318	556.4995076
319	556.4821398
320	556.4710016
321	556.4597617
322	556.450073
323	556.4372611
324	556.4234617
325	556.4098385
326	556.3973705
327	556.3865189
328	556.3746975
329	556.3628829
330	556.3499607
331	556.3369463
332	556.3268992
333	556.3239541
334	556.3140754
335	556.3035016
336	556.2949623
337	556.2850974
338	556.277973
339	556.2660067
340	556.2585773
341	556.2476832
342	556.2372679
343	556.226809
344	556.2234302
345	556.2145906
346	556.2115375
347	556.2015688
348	556.1907461
349	556.1824423
350	556.1767732
351	556.1715427
352	556.1655558
353	556.1582284
354	556.1516939
355	556.1425734
356	556.1335823
357	556.1248827
358	556.1173788
359	556.1146407
360	556.1105575
361	556.1027083
362	556.096772
363	556.0902559
364	556.0857252
365	556.0815344
366	556.0753212
367	556.0688326
368	556.0616673
369	556.0554423
370	556.0491278
371	556.045365
372	556.040906
373	556.0339571
374	556.0290049
375	556.0226995
376	556.0177095
377	556.012938
378	556.0078762
379	556.001477
380	555.9971124
381	555.9941396
382	555.992362
383	555.9902077
384	555.984637
385	555.9799934
386	555.9740073
387	555.9715107
388	555.9694133
389	555.9637932
390	555.9581512
391	555.9530487
392	555.9494571
393	555.9448465
394	555.9419554
395	555.9383576
396	555.9315182
397	555.9290364
398	555.9248326
399	555.9193516
