iter	Passed	Remaining
0	164	163944
1	164	82111
2	165	54860
3	165	41225
4	166	33037
5	166	27572
6	166	23660
7	167	20709
8	167	18445
9	167	16630
10	168	15135
11	168	13897
12	169	12845
13	169	11944
14	170	11166
15	170	10493
16	171	9902
17	171	9377
18	172	8902
19	173	8478
20	173	8093
21	174	7737
22	174	7417
23	175	7118
24	175	6849
25	176	6601
26	176	6373
27	177	6153
28	177	5956
29	178	5770
30	178	5592
31	179	5424
32	179	5267
33	180	5124
34	180	4990
35	181	4858
36	181	4733
37	182	4617
38	182	4509
39	183	4406
40	184	4309
41	184	4213
42	185	4124
43	185	4034
44	186	3953
45	186	3876
46	187	3803
47	188	3731
48	188	3660
49	189	3596
50	189	3529
51	190	3466
52	190	3402
53	190	3340
54	191	3282
55	191	3229
56	192	3177
57	192	3125
58	192	3076
59	193	3029
60	193	2981
61	194	2936
62	194	2894
63	195	2854
64	195	2812
65	195	2773
66	196	2734
67	196	2698
68	197	2663
69	197	2629
70	198	2596
71	198	2563
72	199	2531
73	199	2501
74	200	2470
75	200	2442
76	201	2412
77	201	2383
78	201	2354
79	202	2328
80	202	2301
81	203	2277
82	203	2253
83	204	2228
84	204	2203
85	205	2179
86	205	2157
87	206	2135
88	206	2114
89	207	2093
90	207	2072
91	207	2052
92	208	2031
93	208	2010
94	209	1991
95	209	1971
96	209	1952
97	210	1935
98	210	1918
99	211	1901
100	211	1885
101	212	1869
102	212	1853
103	213	1837
104	213	1820
105	214	1805
106	214	1789
107	214	1774
108	215	1760
109	215	1745
110	216	1730
111	216	1715
112	216	1700
113	216	1686
114	217	1672
115	217	1659
116	218	1647
117	218	1633
118	218	1620
119	219	1608
120	219	1596
121	220	1583
122	220	1570
123	220	1559
124	221	1547
125	221	1535
126	221	1525
127	222	1514
128	222	1503
129	223	1493
130	223	1482
131	223	1472
132	224	1462
133	224	1452
134	225	1443
135	225	1433
136	226	1423
137	226	1414
138	226	1404
139	227	1395
140	227	1385
141	227	1376
142	228	1367
143	228	1359
144	228	1350
145	229	1341
146	229	1333
147	230	1325
148	230	1316
149	230	1308
150	231	1300
151	231	1293
152	232	1285
153	232	1277
154	232	1270
155	233	1262
156	233	1255
157	234	1247
158	234	1241
159	234	1233
160	235	1226
161	235	1219
162	236	1212
163	236	1205
